"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify products can be sorted by price low to high","143","testSortByPriceLowToHigh","E-Commerce Test Suite","Thu Feb 19 09:33:07 UTC 2026","passed","Thu Feb 19 09:33:07 UTC 2026","com.wbandara.tests.ProductTest","All Tests","com.wbandara.tests.ProductTest","testSortByPriceLowToHigh"
"Verify valid login with multiple user types","441","testValidLoginWithMultipleUsers","E-Commerce Test Suite","Thu Feb 19 09:32:51 UTC 2026","passed","Thu Feb 19 09:32:52 UTC 2026","com.wbandara.tests.LoginTest","All Tests","com.wbandara.tests.LoginTest","testValidLoginWithMultipleUsers"
"Verify login page loads correctly","61","testLoginPageLoads","E-Commerce Test Suite","Thu Feb 19 09:32:53 UTC 2026","passed","Thu Feb 19 09:32:53 UTC 2026","com.wbandara.tests.LoginTest","All Tests","com.wbandara.tests.LoginTest","testLoginPageLoads"
"Verify accessing cart page without login shows error","204","testAccessCartWithoutLogin","E-Commerce Test Suite","Thu Feb 19 09:33:12 UTC 2026","passed","Thu Feb 19 09:33:12 UTC 2026","com.wbandara.tests.SessionTest","All Tests","com.wbandara.tests.SessionTest","testAccessCartWithoutLogin"
"Verify complete checkout flow with dynamic user data","841","testCompleteCheckout","E-Commerce Test Suite","Thu Feb 19 09:33:10 UTC 2026","passed","Thu Feb 19 09:33:11 UTC 2026","com.wbandara.tests.CheckoutTest","All Tests","com.wbandara.tests.CheckoutTest","testCompleteCheckout"
"Verify product can be added to cart","251","testAddProductToCart","E-Commerce Test Suite","Thu Feb 19 09:32:54 UTC 2026","passed","Thu Feb 19 09:32:55 UTC 2026","com.wbandara.tests.ProductTest","All Tests","com.wbandara.tests.ProductTest","testAddProductToCart"
"Verify valid login with multiple user types","425","testValidLoginWithMultipleUsers","E-Commerce Test Suite","Thu Feb 19 09:32:52 UTC 2026","passed","Thu Feb 19 09:32:53 UTC 2026","com.wbandara.tests.LoginTest","All Tests","com.wbandara.tests.LoginTest","testValidLoginWithMultipleUsers"
"Verify accessing inventory page without login redirects to login page with error","194","testAccessInventoryWithoutLogin","E-Commerce Test Suite","Thu Feb 19 09:33:11 UTC 2026","passed","Thu Feb 19 09:33:11 UTC 2026","com.wbandara.tests.SessionTest","All Tests","com.wbandara.tests.SessionTest","testAccessInventoryWithoutLogin"
"Verify product can be removed from cart","10231","testRemoveProductFromCart","E-Commerce Test Suite","Thu Feb 19 09:32:56 UTC 2026","passed","Thu Feb 19 09:33:06 UTC 2026","com.wbandara.tests.ProductTest","All Tests","com.wbandara.tests.ProductTest","testRemoveProductFromCart"
"Verify all products are displayed on inventory page","12","testAllProductsDisplayed","E-Commerce Test Suite","Thu Feb 19 09:33:09 UTC 2026","passed","Thu Feb 19 09:33:09 UTC 2026","com.wbandara.tests.ProductTest","All Tests","com.wbandara.tests.ProductTest","testAllProductsDisplayed"
"Verify products can be sorted by price high to low","158","testSortByPriceHighToLow","E-Commerce Test Suite","Thu Feb 19 09:33:08 UTC 2026","passed","Thu Feb 19 09:33:08 UTC 2026","com.wbandara.tests.ProductTest","All Tests","com.wbandara.tests.ProductTest","testSortByPriceHighToLow"
"Verify that a valid user can successfully login to the application","801","testValidLogin","E-Commerce Test Suite","Thu Feb 19 09:32:50 UTC 2026","passed","Thu Feb 19 09:32:51 UTC 2026","com.wbandara.tests.LoginTest","All Tests","com.wbandara.tests.LoginTest","testValidLogin"
"Verify valid session persists across page refreshes","547","testSessionPersistsOnRefresh","E-Commerce Test Suite","Thu Feb 19 09:33:13 UTC 2026","passed","Thu Feb 19 09:33:13 UTC 2026","com.wbandara.tests.SessionTest","All Tests","com.wbandara.tests.SessionTest","testSessionPersistsOnRefresh"
